FIPS,State Name,State,Food Insecurity Rate,# of Food Insecure Persons,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure Children in HH w/HH Incomes Below 185 FPL,% food insecure Children in HH w/HH Incomes Above 185 FPL,Cost Per Meal,Weighted Annual Food Budget Shortfall,Year
18,Indiana,IN,0.137,910870,1.3,SNAP,1.85,Other Nutrition Program,0.539550100453413,0.148144082031464,0.312525387816044,0.177,279840,0.71,0.29,2.62,408203000,2016
19,Iowa,IA,0.115,360540,1.6,SNAP,1.85,Other Nutrition Program,0.526904088311976,0.0442946691074499,0.428828978754091,0.159,115890,0.57,0.43,2.72,167753000,2016
20,Kansas,KS,0.129,375360,1.3,SNAP,1.85,Other Nutrition Program,0.474078218243819,0.158994032395567,0.366394927536232,0.183,131130,0.66,0.34,2.89,185071000,2016
21,Kentucky,KY,0.155,685830,1.3,SNAP,1.85,Other Nutrition Program,0.585247072889783,0.111864456206349,0.302786404794191,0.192,194440,0.74,0.26,2.7,316518000,2016
22,Louisiana,LA,0.167,783400,1.3,SNAP,1.85,Other Nutrition Program,0.592711258616288,0.106242021955578,0.301085014041358,0.231,258630,0.69,0.31,2.89,387408000,2016
23,Maine,ME,0.138,183310,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.599749058971142,,0.400250941028858,0.198,50520,0.64,0.36,3.45,108086000,2016
24,Maryland,MD,0.111,665420,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.613717652009257,,0.386297376093294,0.153,205890,0.58,0.42,3.1,352619000,2016
25,Massachusetts,MA,0.096,652760,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.65267479624977,,0.34735584288253,0.121,167450,0.65,0.35,3.38,376759000,2016
26,Michigan,MI,0.142,1414700,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.729978087226974,,0.270028981409486,0.163,356930,0.69,0.31,2.81,678813000,2016
27,Minnesota,MN,0.092,508630,1.65,SNAP,1.85,Other Nutrition Program,0.609382065548631,0.0181467864656037,0.372510469299884,0.127,163070,0.7,0.3,2.97,258531000,2016
28,Mississippi,MS,0.201,600840,1.3,SNAP,1.85,Other Nutrition Program,0.564376539511351,0.135909726383064,0.299630517275814,0.244,176580,0.71,0.29,2.97,304654000,2016
29,Missouri,MO,0.147,896570,1.3,SNAP,1.85,Other Nutrition Program,0.500663640318101,0.159942893471787,0.339505002398028,0.174,241830,0.66,0.34,2.8,429074000,2016
30,Montana,MT,0.123,128740,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.683004505204288,,0.316995494795712,0.17,38810,0.63,0.37,2.91,64053000,2016
31,Nebraska,NE,0.119,227350,1.3,SNAP,1.85,Other Nutrition Program,0.436111722014515,0.122146470200132,0.441873762920607,0.173,82070,0.6,0.4,2.83,109894000,2016
32,Nevada,NV,0.127,372820,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.759884126388069,,0.240115873611931,0.205,138880,0.63,0.37,3.01,191725000,2016
