"","x"
"1625",17304398
"1626",7727523
"1627",30165590
"1628",59399198
"1629",212321245
"1630",34559794
"1631",23594366
"1632",209156802
"1633",9785878
"1634",53866453
"1635",88942282
"1636",30655265
"1637",213849042
"1638",7553966
"1639",26354593
"1640",2525035
"1641",6189652
"1642",18641041
"1643",195201151
"1644",7205942
"1645",212563638
"1646",35158761
"1647",2205123
"1648",4631508
"1649",8377379
"1650",131362160
"1651",36449310
"1652",4951458
"1653",207636626
"1654",140976782
"1655",10951145
"1656",197234227
"1657",215763265
"1658",1433653
"1659",141678551
"1660",95481344
"1661",198706991
"1662",212177016
"1663",639903
"1664",10754840
"1665",4726763
"1666",36777378
"1667",141848325
"1668",17928046
"1669",8151202
"1670",6392107
"1671",66876908
"1672",88706068
"1673",15145719
"1674",215303944
"1675",19188327
"1676",7528786
"1677",22453174
"1678",21469285
"1679",8061758
"1680",7281063
"1681",7651280
"1682",198982202
"1683",7835050
"1684",8114664
"1685",22678844
"1686",219747698
"1687",4640251
"1688",26262420
"1689",218635991
"1690",5403780
"1691",9377250
"1692",8116431
"1693",219236925
"1694",14913671
"1695",196626787
"1696",24779681
"1697",57526060
"1698",8220400
"1699",194065713
"1700",221525509
"1701",5393270
"1702",198089321
"1703",17354657
"1704",53942974
"1705",2533288
"1706",10575493
"1707",6905666
"1708",25989598
"1709",21346867
"1710",7986954
"1711",8025558
"1712",97429616
"1713",1590594
"1714",11047966
"1715",220843649
"1716",8620650
"1717",16658374
"1718",57217013
"1719",21801805
"1720",108532257
"1721",6577828
"1722",16696229
"1723",5641132
"1724",193318679
"1725",20446181
"1726",208765819
"1727",7750783
"1728",83038113
"1729",24515409
"1730",5886966
"1731",11209736
"1732",37414318
"1733",6068756
"1734",83213617
"1735",5459049
"1736",51255092
"1737",24752690
"1738",9732985
"1739",9710155
"1740",108542737
"1741",36938206
"1742",108537259
"1743",213115417
"1744",8205904
"1745",195576347
"1746",9199388
"1747",26230103
"1748",53975025
"1749",60527935
"1750",15109542
"1751",31213556
"1752",12551940
"1753",4918012
"1754",14914310
"1755",22329350
"1756",7398848
"1757",8989136
"1758",9408962
"1759",14995819
"1760",15073451
"1761",32117217
"1762",5931480
"1763",7968941
"1764",22302367
"1765",30575620
"1766",11149906
